c1,c2,c3,live
0.222731671,0.760371563,0.006958002,0
0.218323151,0.764872985,0.006871704,0
0.255107232,0.726969991,0.007729411,1
0.349606244,0.629749032,0.009808164,1
0.357893005,0.621236709,0.009980365,1
0.306025441,0.674442058,0.008957953,1
0.317683646,0.662400644,0.009249228,1
0.347271232,0.632025595,0.00985089,1
0.327842463,0.651911539,0.009500332,1
0.380501186,0.598065905,0.010411354,1
0.3535194,0.6254641,0.010088081,1
0.336163224,0.643183955,0.009807371,0
0.370903795,0.607763978,0.010332349,1
0.361263086,0.617511421,0.010248268,1
0.345474158,0.633738221,0.009913066,1
0.387548689,0.590860639,0.010532643,1
0.351819755,0.627060581,0.010164323,0
0.385363595,0.592966457,0.010592122,1
0.342940874,0.636032038,0.0100898,1
0.383325126,0.594913378,0.010660832,1
0.350257862,0.62850323,0.010252413,1
0.397366095,0.580577185,0.010889133,1
0.381411065,0.596723916,0.010738546,0
0.341670946,0.637159676,0.010194504,1
0.323604677,0.655329453,0.010099693,1
0.333810781,0.645055939,0.010160725,1
0.364988707,0.613380898,0.010554207,1
0.395609118,0.582224498,0.010972109,1
0.379591557,0.59842856,0.010824791,1
0.348652478,0.629978702,0.010348211,1
0.433494453,0.544118919,0.011147825,1
0.388554612,0.589424161,0.010859514,1
0.346830714,0.631666333,0.010446832,1
0.361357621,0.616757716,0.010743309,1
0.292271095,0.687025177,0.009792041,1
0.432203025,0.545304271,0.011229095,1
0.385114542,0.592618632,0.011044727,1
0.452174172,0.525242031,0.011301086,1
0.352030761,0.626138437,0.010696187,1
0.220214005,0.761171812,0.00815154,1
0.385114542,0.592618632,0.011044727,1
0.323363035,0.65518687,0.010384013,1
0.451297293,0.526005394,0.011388437,1
0.352030761,0.626138437,0.010696187,1
0.383487714,0.594106987,0.011149221,1
0.189956656,0.79243256,0.007356492,1
0.34230199,0.635931686,0.010639567,1
0.437498788,0.539812683,0.011380259,1
0.331690435,0.646634102,0.01056117,1
0.423063753,0.554295408,0.011341375,1
0.357588106,0.620244328,0.010953676,1
0.349931362,0.628099411,0.010798368,1
0.470584133,0.50671509,0.011392198,1
0.374465214,0.603148772,0.01112993,0
0.220017892,0.761329141,0.00817413,1
0.381911213,0.59553486,0.011261447,1
0.306215509,0.672464329,0.010267487,1
0.482788516,0.494476674,0.011418741,1
0.476690511,0.500587296,0.011408896,1
0.355706918,0.621973251,0.011067042,1
0.470119486,0.507061869,0.011483116,1
0.361892326,0.615420475,0.011349726,0
0.31466419,0.663568656,0.010610951,1
0.488834745,0.488307011,0.011514076,1
0.482598863,0.494547019,0.01151084,1
0.371258619,0.606035953,0.01137033,1
0.488834745,0.488307011,0.011514076,1
0.419447903,0.557481672,0.011670568,1
0.469667559,0.507386709,0.011581219,1
0.387878967,0.589246659,0.011508614,1
0.313514271,0.664550546,0.010734903,1
0.448842471,0.52806316,0.011694377,1
0.469227253,0.507690547,0.011686644,1
0.42648256,0.550346213,0.011749874,1
0.441267624,0.535552531,0.011759334,1
0.303065657,0.675157478,0.010603271,1
0.269265601,0.710165536,0.009660781,1
0.501100916,0.476178398,0.011407776,1
0.402689013,0.574146298,0.011737448,1
0.386510193,0.590441799,0.011640481,1
0.4950754,0.482071268,0.011510255,1
0.454868316,0.521828714,0.011856229,1
0.425474439,0.551187274,0.01187837,1
0.322635808,0.654896561,0.011143759,1
0.507590807,0.469592825,0.011481429,1
0.519551706,0.457820372,0.011335571,1
0.376209354,0.600535387,0.011792273,1
0.447349051,0.529241723,0.011937454,1
0.400366492,0.576095823,0.01202281,1
0.43256566,0.544003668,0.011951338,1
0.39281834,0.583790457,0.011906528,0
0.507932009,0.469124724,0.011579388,0
0.488717617,0.48815788,0.011719864,1
0.376209354,0.600535387,0.011792273,1
0.423582704,0.552711653,0.012161334,0
0.475117271,0.501472851,0.01194049,1
0.53200336,0.445474702,0.011253146,1
0.520191918,0.457065052,0.011424241,1
0.407858149,0.568469466,0.012129879,1
0.48184831,0.494726862,0.011952291,1
0.467973584,0.508475326,0.01204951,1
0.365880746,0.610636943,0.011957083,1
0.30914549,0.668092792,0.011337884,0
0.532924076,0.44444293,0.011338507,1
0.382819362,0.593541964,0.012090005,1
0.55104341,0.426661333,0.011077167,1
0.520799038,0.456333671,0.011520022,1
0.467973584,0.508475326,0.01204951,1
0.445962697,0.53027051,0.012214033,1
0.39057636,0.585619146,0.012222355,1
0.533798927,0.443447704,0.011431082,1
0.521373676,0.455625223,0.01162324,1
0.460616792,0.515692616,0.012157019,1
0.322662273,0.654056311,0.011747936,1
0.43809713,0.538014657,0.01230651,1
0.381739769,0.594399865,0.012259082,1
0.364814146,0.611475736,0.012129583,0
0.467577029,0.508694763,0.01218684,1
0.545841114,0.431673175,0.011223907,1
0.508549798,0.468224524,0.011797655,1
0.502064182,0.474527837,0.011939079,1
0.398268409,0.577773783,0.012344913,1
0.540364162,0.436953828,0.011375422,1
0.474528595,0.501716465,0.012208046,1
0.413493513,0.562279173,0.012560794,1
0.322301237,0.654119281,0.011967307,1
0.564074873,0.413827746,0.010923905,1
0.467191822,0.508891903,0.012332821,1
0.421849628,0.554031372,0.012480425,1
0.330252205,0.646211067,0.011952099,1
0.559002225,0.418697508,0.011079871,1
0.502208238,0.474216613,0.012068633,1
0.48842205,0.487802252,0.012224547,1
0.467191822,0.508891903,0.012332821,1
0.459661933,0.51626216,0.012456051,1
0.38073212,0.59517287,0.012438234,1
0.322301237,0.654119281,0.011967307,1
0.577480846,0.400659368,0.010740319,1
0.474242518,0.501813791,0.012354637,1
0.444677142,0.531153616,0.012526013,1
0.413493513,0.562279173,0.012560794,1
0.466814608,0.509069883,0.01248765,1
0.473959116,0.50189728,0.012510079,1
0.379787913,0.595869385,0.012627563,1
0.298859128,0.677552128,0.011901591,1
0.572481701,0.405443102,0.010905448,1
0.522423398,0.454278358,0.011852716,1
0.481099528,0.494740199,0.012523404,1
0.466447444,0.509226374,0.012651565,1
0.291054721,0.685334809,0.011889874,1
0.554867301,0.422500396,0.011335047,1
0.481099528,0.494740199,0.012523404,1
0.45142501,0.52412143,0.012748512,0
0.529267838,0.4474912,0.011807663,1
0.387679603,0.587801911,0.01276956,1
0.312197585,0.663901898,0.012176135,1
0.473681327,0.501963677,0.012674651,1
0.458762598,0.516730282,0.012791521,0
0.516316165,0.459997351,0.012153961,1
0.488241171,0.487593372,0.012527568,1
0.181901061,0.798420405,0.008578546,0
0.466447444,0.509226374,0.012651565,1
0.38681852,0.588399227,0.012972211,1
0.300676413,0.675462838,0.012108979,1
0.273958347,0.702782636,0.011568554,1
0.6060343,0.372717684,0.010269757,1
0.480911045,0.494716892,0.012688342,1
0.466088141,0.509363193,0.012824905,1
0.317579162,0.658036525,0.012552121,1
0.473406269,0.502015579,0.012848613,1
0.442919766,0.532218477,0.013064585,1
0.369222145,0.605812655,0.013094306,1
0.210805509,0.768191377,0.009655351,1
0.509528342,0.466558538,0.012330477,1
0.458333036,0.516926325,0.012973553,1
0.335262559,0.640107359,0.012781603,1
0.269700392,0.707040745,0.011553986,1
0.530402154,0.44602143,0.012066892,1
0.530402154,0.44602143,0.012066892,0
0.509720696,0.466167155,0.01248514,1
0.509720696,0.466167155,0.01248514,1
0.502546313,0.473312281,0.012508443,1
0.411089647,0.563942197,0.013133887,1
0.516914743,0.45901376,0.012452767,1
0.41035999,0.564399259,0.013345361,0
0.360346969,0.61460676,0.01314419,1
0.621803369,0.357341917,0.009968727,0
0.639507273,0.34011777,0.009602741,1
0.616067534,0.362806138,0.010174762,1
0.571336941,0.405985718,0.011365682,1
0.523755011,0.452422476,0.012258553,1
0.473134255,0.502052425,0.013032192,1
0.418819787,0.556088095,0.013234586,1
0.36839374,0.606345949,0.013320088,1
0.457507046,0.517248073,0.013367495,1
0.36757846,0.606853955,0.013555606,1
0.334052203,0.641029314,0.012997011,0
0.550965453,0.425872111,0.011743355,0
0.472864465,0.502074732,0.013225667,1
0.342265795,0.632557397,0.013211439,0
0.304415199,0.671035851,0.012636837,1
0.538107036,0.438205853,0.012151168,1
0.509890479,0.465786778,0.012648999,1
0.418141808,0.556490879,0.013448627,1
0.618090083,0.360700114,0.010236614,1
0.465393145,0.509576942,0.013200633,1
0.465055847,0.509654823,0.013403631,1
0.433628504,0.540790835,0.01362296,1
0.649555132,0.330355028,0.00938566,1
0.401088257,0.573231638,0.013680521,1
0.599026652,0.379007533,0.01081439,1
0.472864465,0.502074732,0.013225667,1
0.552626487,0.423866738,0.012008347,0
0.524485197,0.451287224,0.012572967,1
0.425296507,0.548931994,0.013768308,1
0.660772179,0.319462511,0.009138777,1
0.593234394,0.384512609,0.011034509,1
0.531825396,0.444012243,0.012520887,1
0.366780668,0.60733198,0.013801219,1
0.660772179,0.319462511,0.009138777,1
0.600670541,0.377238705,0.010908242,1
0.502742027,0.472447089,0.013030374,0
0.673649864,0.306960555,0.008853048,1
0.627639974,0.351257233,0.010151825,1
0.606468834,0.371735592,0.010682489,1
0.566358709,0.410532002,0.011698314,1
0.553378704,0.422925601,0.012153946,1
0.272426847,0.703400621,0.012250337,1
0.643081442,0.336404661,0.009704572,0
0.613974269,0.364410903,0.01054271,1
0.560804905,0.415609058,0.012066934,1
0.449036836,0.525222509,0.013753916,1
0.635575633,0.343545296,0.009980512,1
0.480140272,0.494520117,0.013444565,1
0.321391246,0.6527455,0.013684261,1
0.627639974,0.351257233,0.010151825,1
0.621524714,0.35705171,0.010395119,1
0.546617044,0.429386331,0.012388663,0
0.539200536,0.436714091,0.01245944,1
0.688818914,0.292233921,0.008516596,1
0.675628969,0.304958433,0.008868663,1
0.608158877,0.369922508,0.010774488,1
0.567354588,0.40936395,0.011830232,1
0.502776092,0.472165626,0.013223781,1
0.374173936,0.599388607,0.01423893,1
0.635575633,0.343545296,0.009980512,1
0.629081713,0.349696394,0.01023986,1
0.575834459,0.400833332,0.011865861,1
0.479942032,0.494445006,0.013659008,1
0.382991226,0.590711932,0.014141761,1
0.330230063,0.643574649,0.013962209,1
0.690874768,0.290171582,0.008519283,1
0.675628969,0.304958433,0.008868663,0
0.596189661,0.381271498,0.011250313,1
0.432551557,0.541268133,0.014092554,1
0.374173936,0.599388607,0.01423893,1
0.302692461,0.671862409,0.013310699,0
0.568288677,0.408246452,0.011970895,1
0.407717454,0.565817385,0.014299422,1
0.382303804,0.591055892,0.01440852,1
0.690874768,0.290171582,0.008519283,0
0.554078821,0.422025062,0.012308573,1
0.675245407,0.30524992,0.008936887,0
0.652410044,0.327233755,0.009581946,1
0.644027828,0.335188709,0.009903961,1
0.487551572,0.486829515,0.013663913,1
0.615673161,0.362589587,0.010633806,1
0.603805613,0.373824362,0.011118144,1
0.532596344,0.442792317,0.01286981,1
0.517966418,0.456793947,0.013363557,1
0.373481518,0.599728179,0.014512493,1
0.709649349,0.271954294,0.008094281,1
0.651435632,0.328030072,0.009714276,1
0.596189661,0.381271498,0.011250313,1
0.479739988,0.494360494,0.013884198,1
0.423616544,0.549657003,0.014516746,1
0.390404431,0.582766895,0.014566174,1
0.675245407,0.30524992,0.008936887,1
0.464074985,0.50977915,0.014076119,1
0.733874353,0.248436129,0.00755341,1
0.706862981,0.274614802,0.008188117,1
0.672729131,0.307611655,0.0090528,1
0.661901097,0.318065063,0.009337134,1
0.62490543,0.353416163,0.010583718,1
0.617387555,0.360744514,0.010730999,1
0.583447177,0.393364723,0.011751904,0
0.532930465,0.442215388,0.013058894,1
0.62490543,0.353416163,0.010583718,1
0.605303435,0.37217259,0.011233967,1
