C1,C2,inhibition
0,0,11.31774829
1,0,-3.37802463
3,0,-0.591837199
10,0,-3.610206915
30,0,1.170016617
100,0,-0.810361704
300,0,-1.042543989
1000,0,-14.09938312
0,50,4.939564317
1,50,1.265621088
3,50,9.064214336
10,50,-1.069859552
30,50,-1.998588696
100,50,3.833284014
300,50,-8.554323826
1000,50,-13.02041838
0,150,0.186656347
1,150,10.21146798
3,150,-5.617900799
10,150,1.579750063
30,150,-2.299059889
100,150,-8.731874986
300,150,-9.619630785
1000,150,-7.721199153
0,500,-1.848353099
1,500,-4.921353941
3,500,-2.462953268
10,500,7.343333864
30,500,8.463271949
100,500,1.115385491
300,500,-7.393412397
1000,500,-10.56201771
0,1500,85.45218638
1,1500,71.94464046
3,1500,72.57289841
10,1500,64.0777583
30,1500,67.76535931
100,1500,68.31167057
300,1500,73.99330769
1000,1500,79.10131798
0,5000,99.13728347
1,5000,99.75188364
3,5000,99.19191459
10,5000,98.90510118
30,5000,99.28751906
100,5000,98.33147436
300,5000,98.98704787
1000,5000,99.12362569
0,15000,101.2815552
1,15000,101.3088707
3,15000,101.2542396
10,15000,101.3498441
30,15000,101.2405818
100,15000,100.666955
300,15000,100.7489017
1000,15000,100.229906
0,50000,101.4591063
1,50000,101.7186042
3,50000,101.6229997
10,50000,101.4317908
30,50000,101.2952129
100,50000,101.3635019
300,50000,101.226924
1000,50000,100.8991373
